ID,Date,Zone,Lat,Long,Meter Number,Reason for Over Abstraction,HouseHolds,Type of Housing,Main Pipe Length,Daily Abstraction Avg,Water Kiosks,Car Wash and Hotels,Schools,Churches,Farming,Over Abstraction
4,21/03/2018,Upper Kayole,0.748353,36.466414,WT11-06''-12842,Illegal_Abs,118,mixed rental storied (2 bedroomed plus) and family units,1750,88.5,0,0,0,0,3,2
1,21/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
6,22/03/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,3
1,22/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
11,23/03/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Mt_Pb,69,single family units,1230,51.75,0,0,0,0,4,2
1,23/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
1,27/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
8,28/03/2018,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Mt_Pb,8,Single Units rentals,1710,6,0,0,0,3,1,8
7,28/03/2018,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,LK_3,45,single units rentals,3775,33.75,0,0,1,5,1,24
1,28/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
1,29/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
11,26/03/2018,mirema,0.747003,36.452739,WT11-6-08-07022,LK_3,69,single family units,1230,51.75,0,0,0,0,4,2
6,26/03/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Htl_Inds,179,single units rentals,1604,134.25,2,0,1,2,1,104
6,28/03/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,New_Cons,259,single units rentals,1604,194.25,2,0,1,2,1,8
12,2/4/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_3,115,single family units,960,86.25,0,0,0,0,4,8
2,2/4/2018,park view,0.745786,36.463575,WT-4''-96-4969,LK_3,8,mixed family and single rentals,4230,6,0,0,0,0,2,8
5,3/4/2018,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Htl_Inds,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,8
6,4/4/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Htl_Inds,138,single units rentals,1604,103.5,2,0,1,2,1,8
3,5/4/2018,Upper Kayole,0.747153,36.465,WT11-6''-1269,LK_3,79,rentals storied (2 bedroomed plus),2120,59.25,1,2,0,1,2,8
11,6/4/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
6,9/4/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_2,259,single units rentals,1604,194.25,2,0,1,2,1,24
9,10/4/2018,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Rare_Acts,69,one bedroomed plus,2600,51.75,2,2,0,0,1,2
5,10/4/2018,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Mt_Pb,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,2
2,11/4/2018,park view,0.745786,36.463575,WT-4''-96-4969,LK_3,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
11,13/04/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
12,16/04/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Htl_Inds,115,single family units,960,86.25,0,0,0,0,4,8
12,17/04/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Rare_Acts,125,single family units,960,93.75,0,0,0,0,4,3
11,20/04/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
7,24/04/2018,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,Other_Acts,45,single units rentals,3775,33.75,0,0,1,5,1,4
12,26/04/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Htl_Inds,115,single family units,960,86.25,0,0,0,0,4,8
11,27/04/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
12,9/5/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Htl_Inds,115,single family units,960,86.25,0,0,0,0,4,3
12,9/5/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,125,single family units,960,93.75,0,0,0,0,4,2
2,9/5/2018,park view,0.745786,36.463575,WT-4''-96-4969,LK_2,8,mixed family and single rentals,4230,6,0,0,0,0,2,3
3,9/5/2018,Upper Kayole,0.747153,36.465,WT11-6''-1269,Other_Acts,125,rentals storied (2 bedroomed plus),2120,93.75,1,2,0,1,2,8
11,10/5/2018,mirema,0.747003,36.452739,WT11-6-08-07022,LK_3,69,single family units,1230,51.75,0,0,0,0,4,1
8,10/5/2018,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Other_Acts,181,Single Units rentals,1710,135.75,0,0,0,3,1,2
12,10/5/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_3,115,single family units,960,86.25,0,0,0,0,4,8
